,id,identifier,formula,polar_spg
329,66338f1f5e0d7b8300877f28,mp-1216623,TlSbWO6,Ima2
330,66338f1f5e0d7b8300877f34,mp-1223347,KSbWO6,Ima2
331,66338f1f5e0d7b8300877f38,mp-1220473,NbTlTeO6,Ima2
332,66338f215e0d7b8300877f68,mp-22869,ClO3,Cc
333,66338f225e0d7b8300877f90,mp-6015,LiSiNO,Pca2_1
334,66338f225e0d7b8300877f9c,mp-1210804,Li2ZnGeS4,Pmn2_1
335,66338f235e0d7b8300877fb4,mp-753401,Sc2TiO5,Cmc2_1
336,66338f235e0d7b8300877fb8,mp-675801,KNbCl6,P2_1
337,66338f235e0d7b8300877fc0,mp-558063,KCu(BiS2)2,Cmc2_1
338,66338f235e0d7b8300877fc4,mp-28261,Na4SnO3,Cc
339,66338f245e0d7b8300877fec,mp-3338,NaGaO2,Pna2_1
340,66338f245e0d7b8300877ff0,mp-28096,SCl,Fdd2
341,66338f265e0d7b830087801c,mp-1104686,Cs4Au6S5,P31m
342,66338f275e0d7b8300878050,mp-21892,Al2PbO4,Ama2
343,66338f275e0d7b8300878054,mp-867328,KYSiS4,P2_1
344,66338f275e0d7b8300878060,mp-1218418,Sr3Se2(ClO3)2,C2
345,66338f285e0d7b8300878064,mp-1019509,B2S2O9,C2
346,66338f285e0d7b8300878068,mp-867340,K2BaCdSb2,Pmc2_1
347,66338f285e0d7b8300878088,mp-1029378,Mg2SbN3,Cmc2_1
348,66338f295e0d7b83008780a0,mp-4533,Na2SiO3,Cmc2_1
349,66338f295e0d7b83008780a8,mp-28264,RbH3O2,Cmc2_1
350,66338f295e0d7b83008780b0,mp-1029422,NbZn2N3,Cmc2_1
351,66338f2a5e0d7b83008780c0,mp-27987,BrF5,Cmc2_1
352,66338f2a5e0d7b83008780d0,mp-8973,NaSi2N3,Cmc2_1
353,66338f2b5e0d7b83008780f8,mp-1020019,Li2PNO2,Cmc2_1
354,66338f2b5e0d7b83008780fc,mp-1226730,CdH6(NCl)2,C2
355,66338f2c5e0d7b8300878120,mp-505634,Cs2Te3,Cmc2_1
356,66338f2e5e0d7b830087814c,mp-11674,Al2Se3,Cc
357,66338f2e5e0d7b8300878150,mp-7670,K2Se3,Cmc2_1
358,66338f2e5e0d7b8300878168,mp-625054,AlHO2,Cmc2_1
359,66338f2f5e0d7b830087818c,mp-1025567,NbCl2O,C2
360,66338f2f5e0d7b8300878190,mp-551826,NbTlBr4O,C2
361,66338f2f5e0d7b8300878194,mp-1228030,Ba4Bi2O,I4mm
362,66338f305e0d7b83008781a0,mp-28873,CsBrO3,R3m
363,66338f315e0d7b83008781c8,mp-672,CdS,P6_3mc
